Dep.Var	Stress	Category	Morph.Type	Before	After	Speaker	YOB	Sex	Education	Job	Phoneme.Dep.Var
Deletion	Stressed	Function	Mono	Vowel	Consonant	MOFM55	1955	M	Educated	White	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	NATF84	1984	F	Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	NEIF49	1949	F	Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	PEIF57	1957	F	Educated	White	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	ROBM64	1964	M	Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	RUDF73	1973	F	Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	SAMF61	1961	F	Educated	White	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	SMIF58	1958	F	Not Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	SMIM61	1961	M	Not Educated	Blue	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	STEF99	1999	F	Student	Student	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Consonant	STEM42	1942	M	Not Educated	Service	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	BOUF65	1965	F	Educated	White	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	CHIF55	1955	F	Educated	White	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	CLAF52	1952	F	Educated	Service	t--Affricate
Deletion	Stressed	Lexical	Mono	Vowel	Pause	CLAM73	1973	M	Not Educated	Blue	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	DONM41	1941	M	Not Educated	Blue	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	DONM53	1953	M	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	DONM58	1958	M	Not Educated	Service	t--Fricative
Deletion	Stressed	Lexical	Mono	Vowel	Pause	DOUF46	1946	F	Educated	Service	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	ELLF29	1929	F	Not Educated	Service	t--Glottal Stop
Realized	Stressed	Lexical	Mono	Vowel	Pause	GARF16	1916	F	Not Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	GARM42	1942	M	Not Educated	Blue	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	GREM45	1945	M	Not Educated	Blue	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	HANF83	1983	F	Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	HANF83	1983	F	Educated	Service	t--Fricative
Deletion	Stressed	Lexical	Mono	Vowel	Pause	HANM57	1957	M	Not Educated	Blue	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	HOLF49	1949	F	Educated	Service	t--Other Weakening
Realized	Stressed	Lexical	Mono	Vowel	Pause	HOLM52	1952	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	INGM87	1987	M	Educated	Service	t--Affricate
Deletion	Stressed	Lexical	Mono	Vowel	Pause	KAYF29	1929	F	Not Educated	Service	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	KAYM29	1929	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	LATF53	1953	F	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	LEOF66	1966	F	Educated	White	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	MOFM55	1955	M	Educated	White	t--Other Weakening
Deletion	Stressed	Lexical	Mono	Vowel	Pause	NATF84	1984	F	Educated	Service	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	NEIF49	1949	F	Educated	Service	t--Ejective
Realized	Stressed	Lexical	Mono	Vowel	Pause	PEIF57	1957	F	Educated	White	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	ROBM64	1964	M	Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	RUDF73	1973	F	Educated	Service	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	SAMF61	1961	F	Educated	White	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	SMIF58	1958	F	Not Educated	Service	t--T
Deletion	Stressed	Lexical	Mono	Vowel	Pause	SMIM61	1961	M	Not Educated	Blue	t--Deletion
Deletion	Stressed	Lexical	Mono	Vowel	Pause	STAM21	1921	M	Not Educated	Blue	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	STEF99	1999	F	Student	Student	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	STEM42	1942	M	Not Educated	Service	t--Ejective
Realized	Stressed	Lexical	Mono	Vowel	Pause	STEM65	1965	M	Not Educated	Service	t--T
Realized	Stressed	Lexical	Past	S	Pause	INGM84	1984	M	Educated	Service	t--T
Realized	Stressed	Lexical	Semi-Weak	Vowel	Pause	GARF16	1916	F	Not Educated	Service	d--D
Realized	Stressed	Lexical	Semi-Weak	Vowel	Vowel	GARF87	1987	F	Educated	White	d--Flap
Deletion	Stressed	Lexical	Semi-Weak	Vowel	Pause	GARF87	1987	F	Educated	White	d--Deletion
Realized	Stressed	Lexical	Semi-Weak	Vowel	Pause	GARM42	1942	M	Not Educated	Blue	d--Glottal Stop
Realized	Stressed	Lexical	Semi-Weak	Vowel	Vowel	INGM84	1984	M	Educated	Service	d--Flap
Deletion	Stressed	Lexical	Semi-Weak	Vowel	Pause	NATF84	1984	F	Educated	Service	d--Deletion
Realized	Unstressed	Function	Mono	Nasal	Vowel	BOUF65	1965	F	Educated	White	t--T
Realized	Unstressed	Function	Mono	Nasal	Vowel	CHIF55	1955	F	Educated	White	t--T
Deletion	Unstressed	Function	Mono	Nasal	Vowel	CLAF52	1952	F	Educated	Service	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	DONF15	1915	F	Not Educated	Service	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	H	DONF15	1915	F	Not Educated	Service	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	DONM53	1953	M	Educated	Service	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	DONM58	1958	M	Not Educated	Service	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	DOUF46	1946	F	Educated	Service	t--Deletion
Realized	Unstressed	Function	Mono	Nasal	Vowel	ELLF29	1929	F	Not Educated	Service	t--T
Deletion	Unstressed	Function	Mono	Nasal	Vowel	GREM45	1945	M	Not Educated	Blue	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	HOLF49	1949	F	Educated	Service	t--Deletion
Realized	Unstressed	Function	Mono	Nasal	Vowel	HOLM52	1952	M	Not Educated	Blue	t--T
Realized	Unstressed	Function	Mono	Nasal	Vowel	INGM84	1984	M	Educated	Service	t--Flap
Deletion	Unstressed	Function	Mono	Nasal	Vowel	INGM87	1987	M	Educated	Service	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	KAYF29	1929	F	Not Educated	Service	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	KAYM29	1929	M	Not Educated	Blue	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	LATF53	1953	F	Educated	Service	t--Deletion
Realized	Unstressed	Function	Mono	Nasal	Vowel	LEOF66	1966	F	Educated	White	t--T
Deletion	Unstressed	Function	Mono	Nasal	H	LEOF66	1966	F	Educated	White	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	NATF84	1984	F	Educated	Service	t--Deletion
Realized	Unstressed	Function	Mono	Nasal	Vowel	NEIF49	1949	F	Educated	Service	t--Flap
Deletion	Unstressed	Function	Mono	Nasal	Vowel	PEIF57	1957	F	Educated	White	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	RUDF73	1973	F	Educated	Service	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	SAMF61	1961	F	Educated	White	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	SMIF58	1958	F	Not Educated	Service	t--Deletion
Deletion	Unstressed	Function	Mono	Nasal	Vowel	SMIM61	1961	M	Not Educated	Blue	t--Deletion
Realized	Unstressed	Function	Mono	Nasal	Vowel	STEF99	1999	F	Student	Student	t--Fricative
Deletion	Unstressed	Function	Mono	Nasal	Vowel	STEM42	1942	M	Not Educated	Service	t--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	BOUF65	1965	F	Educated	White	d--Affricate
Realized	Stressed	Lexical	Past	Vowel	Pause	CHIF55	1955	F	Educated	White	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	CLAF52	1952	F	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	CLAM73	1973	M	Not Educated	Blue	d--Affricate
Deletion	Stressed	Lexical	Past	Vowel	Pause	DONM41	1941	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	DONM53	1953	M	Educated	Service	d--D
Realized	Stressed	Lexical	Past	Vowel	Pause	DONM58	1958	M	Not Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	DOUF46	1946	F	Educated	Service	d--Ejective
Realized	Stressed	Lexical	Past	Vowel	Pause	ELLF29	1929	F	Not Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	GARF16	1916	F	Not Educated	Service	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	GARM42	1942	M	Not Educated	Blue	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	GREM45	1945	M	Not Educated	Blue	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	HANF83	1983	F	Educated	Service	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	HOLF49	1949	F	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	HOLM52	1952	M	Not Educated	Blue	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	INGM87	1987	M	Educated	Service	d--Affricate
Realized	Stressed	Lexical	Past	Vowel	Pause	KAYF29	1929	F	Not Educated	Service	d--Other Weakening
Deletion	Stressed	Lexical	Past	Vowel	Pause	KAYM29	1929	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	LATF53	1953	F	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	LEOF66	1966	F	Educated	White	d--T
Deletion	Stressed	Lexical	Past	Vowel	Pause	MOFM55	1955	M	Educated	White	d--Deletion
Deletion	Stressed	Lexical	Past	Vowel	Pause	NATF84	1984	F	Educated	Service	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	NEIF49	1949	F	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	PEIF57	1957	F	Educated	White	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	ROBM64	1964	M	Educated	Service	d--D
Realized	Stressed	Lexical	Past	Vowel	Pause	RUDF73	1973	F	Educated	Service	d--Ejective
Realized	Stressed	Lexical	Past	Vowel	Pause	SAMF61	1961	F	Educated	White	d--Other Weakening
Realized	Stressed	Lexical	Past	Vowel	Pause	SMIF58	1958	F	Not Educated	Service	d--T
Deletion	Stressed	Lexical	Past	Vowel	Pause	SMIM61	1961	M	Not Educated	Blue	d--Deletion
Deletion	Stressed	Lexical	Past	Vowel	Pause	STAM21	1921	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	STEF99	1999	F	Student	Student	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	STEM42	1942	M	Not Educated	Service	d--Ejective
Realized	Stressed	Lexical	Past	Vowel	Pause	STEM65	1965	M	Not Educated	Service	d--Fricative
Realized	Unstressed	Lexical	Mono	Liquid	Vowel	DONF15	1915	F	Not Educated	Service	t--Fricative
Realized	Unstressed	Lexical	Mono	Nasal	Vowel	GARF16	1916	F	Not Educated	Service	t--T
Deletion	Unstressed	Lexical	Mono	Nasal	Vowel	GARF37	1937	F	Not Educated	Service	t--Deletion
Deletion	Unstressed	Lexical	Mono	Nasal	Pause	MARM92	1992	M	Student	Student	t--Deletion
Deletion	Unstressed	Lexical	Mono	Nasal	Pause	MARM92	1992	M	Student	Student	t--Deletion
Deletion	Unstressed	Lexical	Mono	Nasal	Vowel	MARM92	1992	M	Student	Student	t--Deletion
Deletion	Unstressed	Lexical	Mono	Nasal	Vowel	PHAM91	1991	M	Student	Student	t--Deletion
Deletion	Unstressed	Lexical	Mono	Nasal	Vowel	ROLF91	1991	F	Student	Student	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	ARSM91	1991	M	Educated	White	t--T
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	BEAM91	1991	M	Student	Student	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	BOUF65	1965	F	Educated	White	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	CARM91	1991	M	Student	Student	t--Affricate
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	CHIF55	1955	F	Educated	White	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	CHIF55	1955	F	Educated	White	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	CLAF52	1952	F	Educated	Service	t--T
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	CLAM73	1973	M	Not Educated	Blue	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	CLAM73	1973	M	Not Educated	Blue	t--Fricative
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	CONM89	1989	M	Educated	Service	t--Deletion
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	DAVM90	1990	M	Educated	Service	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	DELF91	1991	F	Student	Student	t--T
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	DONF15	1915	F	Not Educated	Service	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	DONM53	1953	M	Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	DONM58	1958	M	Not Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	DOUF46	1946	F	Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	ELLF29	1929	F	Not Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	ELLF61	1961	F	Educated	White	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	EVAF92	1992	F	Student	Student	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	FRAM93	1993	M	Student	Student	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	GARF37	1937	F	Not Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	GARM42	1942	M	Not Educated	Blue	t--Fricative
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	GAVF93	1993	F	Student	Student	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	GAVM90	1990	M	Not Educated	Blue	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	GOUM91	1991	M	Student	Student	t--Fricative
Realized	Unstressed	Lexical	Mono	Stop	Vowel	GREF22	1922	F	Not Educated	Service	t--T
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	GREM45	1945	M	Not Educated	Blue	t--Deletion
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	HAWM90	1990	M	Not Educated	Blue	t--Deletion
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	HOLM52	1952	M	Not Educated	Blue	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	INGM84	1984	M	Educated	Service	t--Flap
Realized	Unstressed	Lexical	Mono	Stop	Vowel	INGM87	1987	M	Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	JOCF91	1991	F	Student	Student	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	JOYF91	1991	F	Student	Student	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	KAYF29	1929	F	Not Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	KAYM29	1929	M	Not Educated	Blue	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	LATF53	1953	F	Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	LELM91	1991	M	Student	Student	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	LEOF66	1966	F	Educated	White	t--Glottal Stop
Realized	Unstressed	Lexical	Mono	Stop	Vowel	MARM92	1992	M	Student	Student	t--Affricate
Realized	Unstressed	Lexical	Mono	Stop	Vowel	MOFM55	1955	M	Educated	White	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	MORF91	1991	F	Student	Student	t--T
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	NATF84	1984	F	Educated	Service	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	NEIF49	1949	F	Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	PEIF57	1957	F	Educated	White	t--T
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	PHAM91	1991	M	Student	Student	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	ROBM64	1964	M	Educated	Service	t--T
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	ROLF91	1991	F	Student	Student	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	RUDF73	1973	F	Educated	Service	t--T
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	SAMF61	1961	F	Educated	White	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	SILM90	1990	M	Not Educated	Service	t--T
Realized	Unstressed	Lexical	Mono	Stop	Vowel	SMIF58	1958	F	Not Educated	Service	t--T
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	SMIM61	1961	M	Not Educated	Blue	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	STEF99	1999	F	Student	Student	t--Ejective
Realized	Unstressed	Lexical	Mono	Stop	Vowel	STEM42	1942	M	Not Educated	Service	t--Ejective
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	TAMF91	1991	F	Student	Student	t--Deletion
Deletion	Unstressed	Lexical	Mono	Stop	Vowel	VICF91	1991	F	Student	Student	t--Deletion
Realized	Unstressed	Lexical	Mono	Stop	Vowel	VIKF91	1991	F	Student	Student	t--T
Deletion	Stressed	Function	Mono	Nasal	H	DONF15	1915	F	Not Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Nasal	Vowel	MARM92	1992	M	Student	Student	t--Deletion
Deletion	Stressed	Function	Mono	Nasal	Pause	MARM92	1992	M	Student	Student	t--Deletion
Deletion	Stressed	Function	Mono	Nasal	H	MARM92	1992	M	Student	Student	t--Deletion
Deletion	Stressed	Function	Mono	Nasal	Vowel	MARM92	1992	M	Student	Student	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	FRAM93	1993	M	Student	Student	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	ARSM91	1991	M	Educated	White	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	ARSM91	1991	M	Educated	White	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	BEAM91	1991	M	Student	Student	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	BOUF65	1965	F	Educated	White	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	CARM91	1991	M	Student	Student	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	CHIF55	1955	F	Educated	White	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	CLAF52	1952	F	Educated	Service	t--Affricate
Deletion	Stressed	Lexical	Mono	Vowel	Pause	CLAM73	1973	M	Not Educated	Blue	t--Deletion
Deletion	Stressed	Lexical	Mono	Vowel	Pause	DAVM90	1990	M	Educated	Service	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	DELF91	1991	F	Student	Student	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	DONM41	1941	M	Not Educated	Blue	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	DONM53	1953	M	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	DONM58	1958	M	Not Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	DOUF46	1946	F	Educated	Service	t--Affricate
Deletion	Stressed	Lexical	Mono	Vowel	Pause	ELLF61	1961	F	Educated	White	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	FRAM93	1993	M	Student	Student	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	GARF16	1916	F	Not Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	GAVF93	1993	F	Student	Student	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	GAVM90	1990	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	GOUM91	1991	M	Student	Student	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	GREM45	1945	M	Not Educated	Blue	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	HANF83	1983	F	Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	HANF83	1983	F	Educated	Service	t--Fricative
Deletion	Stressed	Lexical	Mono	Vowel	Pause	HANM57	1957	M	Not Educated	Blue	t--Deletion
Deletion	Stressed	Lexical	Mono	Vowel	Pause	HANM57	1957	M	Not Educated	Blue	t--Deletion
Deletion	Stressed	Lexical	Mono	Vowel	Pause	HAWM90	1990	M	Not Educated	Blue	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	HOLF49	1949	F	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	HOLM52	1952	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	INGM84	1984	M	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	INGM87	1987	M	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	JOCF91	1991	F	Student	Student	t--Glottal Stop
Realized	Stressed	Lexical	Mono	Vowel	Pause	JOYF91	1991	F	Student	Student	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	KAYF29	1929	F	Not Educated	Service	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	KAYM29	1929	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	LATF53	1953	F	Educated	Service	t--Affricate
Deletion	Stressed	Lexical	Mono	Vowel	Pause	LELM91	1991	M	Student	Student	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	LEOF66	1966	F	Educated	White	t--T
Deletion	Stressed	Lexical	Mono	Vowel	Pause	MOFM55	1955	M	Educated	White	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	MORF91	1991	F	Student	Student	t--Glottal Stop
Realized	Stressed	Lexical	Mono	Vowel	Pause	NATF84	1984	F	Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	NEIF49	1949	F	Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	PEIF57	1957	F	Educated	White	t--Fricative
Deletion	Stressed	Lexical	Mono	Vowel	Pause	PHAM91	1991	M	Student	Student	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	ROBM64	1964	M	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	ROLF91	1991	F	Student	Student	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	RUDF73	1973	F	Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	SAMF61	1961	F	Educated	White	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	SILM90	1990	M	Not Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	SMIF58	1958	F	Not Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	SMIM61	1961	M	Not Educated	Blue	t--Fricative
Deletion	Stressed	Lexical	Mono	Vowel	Pause	STAM21	1921	M	Not Educated	Blue	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	STEF99	1999	F	Student	Student	t--Ejective
Realized	Stressed	Lexical	Mono	Vowel	Pause	STEM42	1942	M	Not Educated	Service	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	STEM65	1965	M	Not Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	TAMF91	1991	F	Student	Student	t--Glottal Stop
Realized	Stressed	Lexical	Mono	Vowel	Pause	VICF91	1991	F	Student	Student	t--Fricative
Deletion	Stressed	Lexical	Mono	Vowel	Pause	VIKF91	1991	F	Student	Student	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	HOLM52	1952	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	BOUF65	1965	F	Educated	White	t--Affricate
Deletion	Stressed	Lexical	Mono	Vowel	Pause	CHIF55	1955	F	Educated	White	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	CLAF52	1952	F	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	CLAM73	1973	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	DONM41	1941	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	DONM53	1953	M	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	DONM58	1958	M	Not Educated	Service	t--Ejective
Realized	Stressed	Lexical	Mono	Vowel	Pause	DOUF46	1946	F	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	ELLF29	1929	F	Not Educated	Service	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	GARF16	1916	F	Not Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	GARM42	1942	M	Not Educated	Blue	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	GREM45	1945	M	Not Educated	Blue	t--Fricative
Deletion	Stressed	Lexical	Mono	Vowel	Pause	HANF83	1983	F	Educated	Service	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	HANF83	1983	F	Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	HOLF49	1949	F	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	INGM84	1984	M	Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	INGM87	1987	M	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Vowel	Pause	KAYF29	1929	F	Not Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	KAYM29	1929	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	LATF53	1953	F	Educated	Service	t--T
Realized	Stressed	Lexical	Mono	Vowel	Pause	LEOF66	1966	F	Educated	White	t--Affricate
Deletion	Stressed	Lexical	Mono	Vowel	Pause	MOFM55	1955	M	Educated	White	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	NATF84	1984	F	Educated	Service	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	PEIF57	1957	F	Educated	White	t--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Pause	ROBM64	1964	M	Educated	Service	t--Affricate
