Dep.Var	Stress	Category	Morph.Type	Before	After	Speaker	YOB	Sex	Education	Job	Phoneme.Dep.Var
Deletion	Stressed	Lexical	Mono	Stop	Consonant	INGM87	1987	M	Educated	Service	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	KAYF29	1929	F	Not Educated	Service	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	KAYM29	1929	M	Not Educated	Blue	t--Deletion
Realized	Stressed	Lexical	Mono	Stop	Consonant	LATF53	1953	F	Educated	Service	t--T
Realized	Stressed	Lexical	Mono	Stop	Consonant	LEOF66	1966	F	Educated	White	t--T
Deletion	Stressed	Lexical	Mono	Stop	Consonant	MOFM55	1955	M	Educated	White	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	NATF84	1984	F	Educated	Service	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	NEIF49	1949	F	Educated	Service	t--Deletion
Realized	Stressed	Lexical	Mono	Stop	Consonant	PEIF57	1957	F	Educated	White	t--T
Deletion	Stressed	Lexical	Mono	Stop	Consonant	ROBM64	1964	M	Educated	Service	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	RUDF73	1973	F	Educated	Service	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	SAMF61	1961	F	Educated	White	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	SMIF58	1958	F	Not Educated	Service	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	SMIM61	1961	M	Not Educated	Blue	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	STEF99	1999	F	Student	Student	t--Deletion
Deletion	Stressed	Lexical	Mono	Stop	Consonant	STEM42	1942	M	Not Educated	Service	t--Deletion
Realized	Unstressed	Lexical	Mono	Vowel	Pause	INGM84	1984	M	Educated	Service	t--Fricative
Realized	Unstressed	Lexical	Past	Liquid	Vowel	GARF37	1937	F	Not Educated	Service	d--Other Weakening
Deletion	Unstressed	Lexical	Past	Liquid	Vowel	MARM92	1992	M	Student	Student	d--Deletion
Realized	Unstressed	Lexical	Past	Liquid	Vowel	PHAM91	1991	M	Student	Student	d--D
Realized	Unstressed	Lexical	Past	Liquid	Vowel	ROLF91	1991	F	Student	Student	d--D
Deletion	Stressed	Lexical	Mono	Vowel	H	GARF87	1987	F	Educated	White	d--Deletion
Deletion	Stressed	Lexical	Mono	Vowel	H	GARM85	1985	M	Educated	White	d--Deletion
Realized	Unstressed	Lexical	Mono	Nasal	Pause	GARF87	1987	F	Educated	White	d--Affricate
Realized	Unstressed	Lexical	Mono	Nasal	Pause	HUNF22	1922	F	Educated	Service	d--Fricative
Realized	Stressed	Lexical	Mono	Vowel	Vowel	FRAM93	1993	M	Student	Student	d--Flap
Deletion	Stressed	Function	Mono	Vowel	Pause	CONM89	1989	M	Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Pause	DONM58	1958	M	Not Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Pause	DONM58	1958	M	Not Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Pause	GARF16	1916	F	Not Educated	Service	t--Deletion
Deletion	Stressed	Lexical	Mono	Vowel	Pause	GARF16	1916	F	Not Educated	Service	t--Deletion
Deletion	Stressed	Function	Mono	Vowel	Pause	LEOF66	1966	F	Educated	White	t--Deletion
Realized	Stressed	Lexical	Mono	Vowel	Pause	MARM92	1992	M	Student	Student	t--Flap
Deletion	Stressed	Lexical	Mono	Vowel	Pause	MARM92	1992	M	Student	Student	t--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	ARSM91	1991	M	Educated	White	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	ARSM91	1991	M	Educated	White	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	BEAM91	1991	M	Student	Student	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	BOUF65	1965	F	Educated	White	d--Affricate
Realized	Stressed	Lexical	Past	Vowel	Pause	CARM91	1991	M	Student	Student	d--D
Realized	Stressed	Lexical	Past	Vowel	Pause	CHIF55	1955	F	Educated	White	d--Affricate
Realized	Stressed	Lexical	Past	Vowel	Pause	CLAF52	1952	F	Educated	Service	d--Ejective
