variable value
Stress 0.00928816830971056
Category 0.00100240885439325
Morph.Type 0.0428405419909737
Before 0.0891103455215882
After 0.0225015589904445
Sex -0.00466204976804039
Education 0.0142773676052504
Job 0.0190235499213078
After.New 0.0108922165022644
Center.Age 0.0286954755665969
Age.Group 0.000574174836509133
Phoneme -0.00528874910077012
